file,name,industries,types,tier,year,active,notes
nimbus-ai.png,Nimbus AI,ai-data|technology-saas,abstract,1,2025,true,flagship AI mark
quanta.png,Quanta,technology-saas|ai-data,combination,1,2024,true,
dataforge.png,Dataforge,ai-data|technology-saas,abstract,2,2024,true,
pixelpush.png,Pixelpush,marketing-agency|media-entertainment,pictorial,2,2023,true,
vectorly.png,Vectorly,technology-saas|marketing-agency,abstract,1,2025,true,
orbital.png,Orbital,technology-saas,pictorial,3,2022,true,
synthwave.png,Synthwave,media-entertainment|technology-saas,combination,2,2023,true,
monozero.png,Monozero,technology-saas|finance-banking,lettermark,2,2024,true,
flowstate.png,Flowstate,technology-saas|fitness-wellness,abstract,3,2022,true,
kernel.png,Kernel,technology-saas|ai-data,wordmark,1,2025,true,
brightcart.png,Brightcart,ecommerce-retail|technology-saas,combination,2,2024,true,
modaline.png,Modaline,fashion-apparel|ecommerce-retail,wordmark,3,2023,true,
